COOPERACIÓN;CAPACITADOS ;Vigencia automotor;Firmaron convenio Automotor;NOTA (ACARA Y DNRPA);ORDENANZA AUTOMOTOR;ADENDAS;CCI EXPRÉS;ORDENANZA CCI;MONOTRIBUTO UNIFICADO;ORDENANZA MUC;ANEXO MUC ;NOMENCLADOR;Interesados en firmar Inmobiliario Córdoba;LOCALIDAD;DEPARTAMENTO;CUIT;POBLACIÓN 
NO;NO;Sin convenio;NO;;;;;;;;;;;VILLA PARQUE SANTA ANA;SANTA MARIA;30678675543;2861
SI ;SI;Sin convenio;NO;;;;;;;;;;;VILLA PARQUE SIQUIMAN;PUNILLA;30668692474;1888
SI ;SI;No Vigente;SI;SI;Pendiente;Pendiente;;;SI;Pendiente;SI;Pendiente;;VILLA QUILLINZO;CALAMUCHITA;30678667427;79
SI ;SI;No Vigente;SI;SI;Pendiente;Pendiente;SI;;SI;Pendiente;SI;Pendiente;;VILLA ROSSI;ROQUE SAENZ PEÑA;30668742986;515
SI ;SI;Sin convenio;NO;;;;;;;;;;;VILLA RUMIPAL;CALAMUCHITA;30999227577;2663
SI ;SI;Sin convenio;NO;;;;;;;;;;;VILLA SAN ESTEBAN;SAN JUSTO;30669210317;82
SI ;SI;Sin convenio;NO;;;;;;;;;;;VILLA SAN ISIDRO;SANTA MARIA;30685358677;1249
SI ;SI;No Vigente;SI;SI;Pendiente;Pendiente;;;2019-05-01 //// SOLICITAN LA BAJA POR CARTA DOCUMENTO A PARTIR DEL 01/01/2021. EN GESTION CON RENTAS;SI;SI;SI;;VILLA SANTA CRUZ DEL LAGO;PUNILLA;33678677839;2472
SI ;SI;Sin convenio;NO;;;;SI;SI;01/09/2020;SI;SI;SI;;VILLA SANTA ROSA;RIO PRIMERO;30999075211;7805
SI ;SI;No Vigente;SI;SI;Pendiente;Pendiente;SI;SI;SI;Pendiente;SI;Pendiente;;VILLA SARMIENTO (C);GENERAL ROCA;30668745578;373
SI ;SI WEB;Sin convenio;NO;;;;SI;SI;;;;;;VILLA SARMIENTO (M);SAN ALBERTO;30999076447;5264
SI ;NO;2020;SI;SI;SI;SI;;;SI;Pendiente;SI;Pendiente;;VILLA TULUMBA;TULUMBA;30682255443;1597
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 18.6;SI;;01/09/2018;SI;SI;SI;;VILLA VALERIA;GENERAL ROCA;30668761883;3002
SI ;SI;2018;SI;SI;SI;ENVIO DNRPA 27.8;SI;;01/02/2020;SI;SI;SI;;VILLA YACANTO;CALAMUCHITA;30668675006;1634
SI ;NO;Sin convenio;NO;;;;SI;SI;;;;;;WASHINGTON;RIO CUARTO;30669080782;608
SI ;SI;2018;SI;Pendiente;SI;ENVIO DNRPA 18.6;SI;SI;01/08/2018;SI;SI;SI;;WENCESLAO ESCALANTE;UNION;30668237408;1517
